Item,Description ,Quantity,Unit Price(USD),Total Price(USD),Shipping Fee,URL
64gb tf card,Tf card for orange pi,2,5.94,11.88,,https://www.aliexpress.com/item/1005009779383874.html?spm=a2g0n.productlist.0.0.7599606dSGM85C&browser_id=a259e1797e6042488a791e19ff76c981&aff_trace_key=aef27603d59a4f70919d23aee4831859-1773131094099-03102-UneMJZVf&aff_platform=msite&m_page_id=tsigmkbhucadtrpa19cd6e2849418e69b0e950960a&gclid=&pdp_ext_f=%7B%22order%22%3A%2283%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.48%213.56%21%21%215.48%213.56%21%402102f0c917731316952325205eb2f0%2112000050135105379%21sea%21HK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A121cb523%3Bm03_new_user%3A-29895&algo_pvid=04e92a56-bb9e-4aa4-add1-30ca19aed992&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009779383874%7C_p_origin_prod%3A&search_p4p_id=20260310013455517580653620000071089_2
7 inch touch screen,Screen for orange pi 5,1,29.7,29.7,,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d735171256992.3d385886EcCxut&id=735171256992&from=cart&skuId=5999099003752&mi_id=0000avJZmandPyOim4IuAeki7g9ia_bRMOpxxTAIAs8aK1o&upStreamPrice=19800
PCB Fee of JLCPCB,the cost of buying a pcb from JLC,1,Not Confirmed Yet,2.1,2.75,
Esp32 Supermini C3,Development Board of the Controller,2,1.305,2.61,,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d980493089461.3d385886EcCxut&id=980493089461&from=cart&skuId=6103731435873&mi_id=0000cEo-EY_CRBQNg3Sai7eRHLekRmRMnoWJOay0v7W4VEo&upStreamPrice=870
6*6*5mm THT Push Button x20,Button of Dpad on the controller,1,0.267,0.267,,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d609071670340.3d385886EcCxut&id=609071670340&from=cart&skuId=4446961442266&mi_id=000096NJdAYWVfH9K55ArlBLRYDbhy7nO3nuXte4TSPBBGM&upStreamPrice=178
6*6*6mm THT 90degree Push Button x20,"Side button (LR,S1S2,Connect)",1,0.327,0.327,,https://e.tb.cn/h.i4oplpU4fhofSGV?tk=cKFKUxnv119
Joystick PS2,Joystick of the controller,2,0.24,0.48,,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d22206327200.3d385886EcCxut&id=22206327200&from=cart&skuId=4969520242339&mi_id=0000yuSQu1nFgE02VLd38qdIKe7z5i0p9CaaWhkEeu7WSVM&upStreamPrice=160
Taobao Shipping Fee,Taobao Shipping fee,1,,,3.075,
Battery 3.7v 903052,Battery of the controller,4,2.7,10.8,,https://item.taobao.com/item.htm?spm=a1z0d.6639537%2F202410.item.d1006039874354.3d385886EcCxut&id=1006039874354&from=cart&skuId=6167802215121&mi_id=0000vELl6UnDDnGK_be9tuy355bj6E70W97XloG-5mXX-BM&upStreamPrice=1800
B1 Socket for battery,The B1 socket used to connect battery and the pcb,2,0.315,0.63,,https://e.tb.cn/h.iU4BVMvaQlzrMgj?tk=f69rUxnK8Kv
Aliexpress Shipping Fee,,,,,12.006,
5V5A 15600mah Li-Battery for Raspberry Pi,"Li-Battery with Charging support,I need 3 for longer usage time",3,8.97,26.91,0,https://e.tb.cn/h.i5LVXXFe0Nlt148?tk=OVtYUBnMF3y
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Total Price,85.704,,,,,
Total Price plus shipping fee,103.535,,,,,
